Series_Name,Number_of_episodes,Number_of_seasons,Genre,Year_released,End_year,Avg_runtime,Rating,Number_of_raters,Number_of_reviews,Number_of_critics_review,Keywords,pos_neg,joy_sad
Last Week Tonight with John Oliver,205,7,Comedy,2014,NA,30,8.9,77172,105,12,web series 30 years later sensei tv sequel to theatrical movie alliterative title karate kid california two word title martial artist father figure coors beer 2010s southern california father son relationship karate dojo karate teacher teenager high school student karate school middle aged man father daughter relationship car dealer car dealership car salesman strip mall fighting bullying grudge martial arts training youtube netflix 2020s leggings butt san fernando valley california based on film sequel spin off karate rivalry dojo martial arts youtube video middle age title spoken by character,Neutral,Joy
Cobra Kai,31,4,Action,2018,NA,30,8.7,74815,1384,46,anime battle bleeding from eyes blood bridge brother brother relationship brutality cave clone death desert explosion eyes fight fight to the death fighting flashback forest good versus evil illusion impostor loss of control mask masked villain mission mysterious villain near death experience poison power psychopath puppet revelation revenge sadism sadist saga sand showdown supernatural power tears training battlefield betrayal curse death of loved one death of parents enemy evil eye gouging fictional war friend friendship funeral giant creature hate hideout immortal katana sword monster ninja magic orphan out of control rain return two against one village alternate universe ambition criminal organization dark past destruction duel fear fire giant animal hologram impalement invulnerability kunai leader lightning memory mind control rescue rescue mission resurrection sadness sidekick snake shuriken sunset team tragic event tragic past violence expose flash forward giant sword path adolescent blue eyes conspiracy danger dangerous demon giant monster hostility immortality masked man mercilessness past puppeteer scythe scythe as a weapon talking animal teenage girl tragedy weird eyes yellow hair shounen adolescent boy teenage protagonist ninja flying villain hero teenager fighting adult teenage hero teenage boy teenager martial artist martial arts master cartoon violence magic ninja master ninja warrior ninjitsu based on manga sequel martial arts character name in title,Negative,Sad
Adventure Time,289,10,Animation,2010,2018,11,8.6,74426,185,46,news satire current affairs satire reenactment pop culture journalist politics live audience journalism late night social commentary current events non fiction,Negative,Sad
The Marvelous Mrs. Maisel,27,4,Comedy,2017,NA,57,8.7,74291,590,54,female protagonist new york city jewish family stand up comedian 1950s judaism divorce stand up jewish woman jewish makeup artist fashion house fashion comedian beatnik character name in series title character name in title fashion obsession foodie,Negative,Neutral
Pride and Prejudice,6,1,Drama,1995,NA,55,8.8,74208,431,18,cult tv boy dog human castle cartoon network shapeshifter sword adoptive brother adopted brother relationship friend coming of age best friends male protagonist bulldog magical power 2d animation traditional animation 2010s title in title cartoon dog bubble gum sudden change in size changing size woke absurdist humour absurdist animation child protagonist hand drawn animation reality candy land candy cloud macintosh kingdom robot talking animal talking food talking dog gum rainbow adventurer spell anthropomorphism vampire unicorn transformation parallel universe monster creature forest penguin fantasy world magic ice post apocalypse king wizard princess surrealism backpack anthropomorphic food,Positive,Joy
Louie,61,5,Comedy,2010,2015,22,8.5,73794,70,52,tv mini series class consciousness love hate matchmaking opposites attract based on novel 19th century pride and prejudice looking for husband pride prejudice gentleman estate regency england class prejudice empire fashion marriage proposal father daughter relationship courtship comedy of manners sister sister relationship melodrama 1810s georgian romance elizabeth bennet character mr wickham character lydia bennet character mr. darcy character charles bingley character georgiana darcy character mr bennet character lady catherine de bourgh character countryside f rated family relationship horse self centeredness singing dancing class differences church suitor england,Positive,Joy
Sacred Games,16,2,Action,2018,NA,50,8.7,70902,776,26,character name in series title forename as series title one word series title divorced father stand up comedian 2010s surrealism awkward situation new york city vignette sitcom actor shares first name with character title spoken by character,Neutral,Joy
The Shield,89,7,Crime,2002,2008,47,8.7,70646,417,65,1980s 1990s violence investigation police officer torture politics religion drugs gangster jail prisoner gang politician india mumbai india based on novel death police two word title suicide gun shootout wedding money face slap shot to death nightclub arrest shot in the head conspiracy criminal brutality combat massacre model street shootout drug use series bombay india netflix original muslim hindu africa nigeria sikh netflix netflix original series,Negative,Sad
The Last Dance,10,1,Documentary,2020,NA,49,9.2,69530,419,25,nba sports espn reference to michael jordan reference to chicago bulls reference to phil jackson reference to dennis rodman netflix reference to steve kerr tv mini series espn plus disney 2020s 2020 chicago bulls,Neutral,Neutral
The Twilight Zone,156,5,Drama,1959,1964,51,9,69314,174,76,corrupt cop los angeles california made for cable tv mayor drugs police corruption criminal investigation police protagonist death racism prison murder police brutality police detective wisecrack humor 21st century police middkid productions sony pictures television fox television studios columbia tristar domestic television fx 1930s to 2020s 2000s 2000s tv 2000s movie and tv 2000s tv show male protagonist columbia tristar sony male nudity bar,Negative,Sad
Gravity Falls,40,2,Animation,2012,2016,23,8.9,69111,220,8,childhood secret dimension magical realism teenager horror for children sweater shooting star conspiracy weird monster cipher journal cryptogram triangle suspense woods forest fez vacation tourist trap character development backwards message friendship puberty disney continuity eye fandom silly serious trust award winner con man lumberjack code apocalypse outsider small town revolutionary heartwarming blood insanity surrealism magic polydactyly grappling hook supernatural power psychotronic series fictional city fictional town gravity falls pacific northwest uncle nephew relationship summer vacation uncle niece relationship pig sweater girl girl with braces brown hair brunette long hair brown eyes blushing skirt girl in skirt headband ballet flats dolly shoes flat shoes socks ankle socks girl wearing socks white ankle socks earrings girl with earrings pencil skirt shadow symbol censorship hand robot demonic possession stars possession nerd scam sibling rivalry llama pentagram incantation treasure hunt statue invisible ink ice bag bleeding heart glasses scholarly character ice regaining erased memory scrap book demon ghost zombie goblin erased memory fun fair sock puppet golf wax statue halloween haunting merman challenge hoodie goth teenager relationship problems countdown password president high school nightmare vision scientist paranormal investigator hand with six fingers unicorn time travel election birthday party bus handyman golf cart dating sim axolotl disappearance outcast rebel tomboy bully cemetery ax golf ball manipulation betrayal mind reading author faked death stolen identity fugitive driven to insanity flannel blacklight stalking map underground bunker hillbilly lake monster fireworks swimming armageddon end of the world imagination sleepover watermelon candy tape measure cashier ice cream attic makeover enchanted forest gift shop paranormal phenomena welcome sign travel alias puzzle cipher wheel laser gun brass knuckles boy band telekinesis psychic predicting the future warning mosquito bites beware enemies working together redemption rebellion giant robot destruction cave pyramid kidnapping summoning birch tree zero gravity shapeshifter question mark sword and crescent secret society brainwashing laptop secret room body swapping telepathy one eyed character illuminati banjo waterfall rainbow canyon diner fishing farm california danger conman money video game character comes to life arcade crack rift between worlds fish out of water camping children solving mysteries karaoke dance party government agent disguise conspiracy theories top hat bow tie long lost twin vest love potion evil girlfriend limo ride haunted mansion taxidermy exorcism containment chamber guide road trip prison memory tree police officer storytelling underage crush water balloon old man tape recorder teen romance one eye love triangle mind control paranoia obsessive character business rival mind manipulation bet chanting potion inanimate object comes to life identify fraud key criminal polytheism love god unidentified flying object stop motion pixel animation jump off a cliff secret passageway made up holiday suspended animation anime girl geek character slumber party chest hair fear puzzle piece body swap crystal flashlight dinosaur pterodactyl shrinking mayor election age difference employee man child all knowing object ufo crash running for mayor knowing too much cloning basement tearjerker sheriff boyband growing up library irresponsible adults 12 year old 13 year old nickname opening narration closing narration speaking backwards constellation big dipper blind eye haunted house gloves birthmark turtle neck sweater 13th birthday bottomless pit childhood crush soda mini golf time paradox festival dance competition eyes used as mouths pinball cursed object sword fighting childhood flashback attic bedroom carnival ride pet pig tourist movie theater petting zoo sacrifice tree sap cameo by show's creator gambling swing set football science fair project pawn shop sailboat character lies about age fighting tapestry trans dimensional portal interdimensional being interdimensional travel underground laboratory interdimensional rift underground cavern bunker buy gold brother brother relationship female best friends relationship eating peanuts cryptozoology force field boyfriend girlfriend relationship dark comedy slapstick comedy portal alternate dimension sign dream pop culture theme song unknown romance novel redhead photograph board game girl lie gnome cell phone finger black magic turned to stone boy action girl summoning a demon jack o'lantern male protagonist child protagonist female protagonist continuity nod an aesop twins oregon great uncle dental braces pre teen henchman brother sister relationship fraternal twins,Negative,Joy
Battlestar Galactica,2,1,Action,2003,NA,92,8.6,67749,450,36,famous opening theme cult favorite series title spoken by narrator allegory anthology plot twist paranormal phenomena psychotronic series hosted television series supernatural power profanity unintended consequences metaphor cult classic cbs cbs all access anthology series,Neutral,Neutral
Dragon Ball Z: Doragon b?u zetto,291,1,Animation,1989,1996,24,8.7,66373,57,16,woman smokes a cigar time dilation cylon survivor quest planet genocide robot fighter pilot biosphere bio dome human in outer space starship name in series title tv mini series tour tour guide spirituality retirement party punched in the face passionate kiss knocking over a table jogging father versus son documentary style cigar smoking character calls female sir card game space war fictional war space carrier spaceship name in title breast cancer gift shop dead children speech president nuclear explosion museum minister burned body shipper man in uniform diaspora female protagonist violence vengeance tragedy theology terrorist terrorism survival spaceship spaceship setting spacecraft space western space opera space marine soldier secret agent resistance rescue religious differences religion pursuit post apocalypse passion on the run nuclear nuclear war nuclear holocaust mysticism morality moral ambiguity mole military life mechanic love loss of son loss of fiance loss of brother kiss human android relationship guilt good versus evil fighting femme fatale female pilot father figure extinction explosion evil robot escape dogfight deception death creator creation relationship chase cancer betrayal battle armageddon apocalypse alcoholic action hero hero heroine flawed heroine robot as menace infanticide made for cable tv sleeper agent nuclear weapons hallucination faster than light artificial intelligence woman in uniform villainess terminal illness space travel self sacrifice interracial relationship human sacrifice future war female soldier female president father son relationship dead son dead brother android starfighter outer space space battle refugee aircraft carrier remake death of child surprise ending,Negative,Sad
Monty Python's Flying Circus,45,4,Comedy,1969,1974,30,8.8,66127,82,23,1980s year in title stock exchange brother brother relationship financial fraud bombay stock exchange dalal street insider trading jobber bull bear financial journalist r k laxman cartoonist newspaper office stock broker short covering subsidiary general ledger big bull source journalistic scoop sensex character name in title number in title,Negative,Neutral
One Piece,947,NA,Animation,1999,NA,24,8.7,63133,172,28,anime actor voicing multiple characters actor playing multiple characters cult favorite friend elderly man elderly woman saving the world superhuman strength teenage boy cult tv camp campy male protagonist warrior dragon alien martial arts multiple english dubs song during opening credits song during end credits supernatural power superhero super villain self duplication martial arts master martial artist kung fu master kung fu fighting kung fu classic kung fu ki life force karate hyper regeneration good versus evil giant ape full moon flying famous opening theme cartoon violence chop socky death of hero based on comic book tyrant survival villain turns good based on manga anti hero responsibility wuxia fiction hope moral ambiguity reincarnation warrior race honor idealism poetic justice sacrifice love mercy blood kindness friendship sequel compassion forgiveness wish android death tournament training mass murder father son relationship redemption strong child mother son relationship villain christ allegory innocence hero superhuman speed transformation violence genocide epic explosion tragedy,Positive,Joy
The West Wing,155,7,Drama,1999,2006,44,8.8,61709,261,14,crossdressing cutout animation monty python sketch comedy surrealism satire actor playing multiple roles catchphrase eccentricity 1970s 1960s man wears eyeglasses comedy troupe black comedy art television network religion one liner monologue journalist england death cult tv breaking the fourth wall adult animation violence stupidity stereotype song singing singer sexual humor recurring character pop culture politics political satire musical number interview impersonation entertainment crude humor crazy humor comedian actress playing multiple roles slapstick comedy irreverence spoof absurdism prank actor playing female role social satire physical comedy parody funny accent ensemble cast comedy team running gag part animation famous opening theme madness class system post modern journalism,Positive,Sad
The Grand Tour,40,5,Comedy,2016,NA,60,8.7,61650,335,5,pirate anime treasure navigator doctor fruit archeologist swashbuckler sexy woman camera shot of a woman's legs giantess cook boy friend multiple english dubs shounen alternate reality cartoon violence kendo martial arts based on manga surrealism privateer number in character's name undead transformation synarchy sword duel slingshot skeleton morphing lightning government conspiracy genocide cyborg conspiracy map hunter friendship friends who hate each other girl reindeer talking animal ship captain princess mechanic elasticity violence villain ship ocean navy japan hero courage company number in title,Positive,Joy
Fullmetal Alchemist,51,1,Animation,2003,2004,24,8.5,60498,101,18,dialogue driven president politics american politics ensemble cast social commentary washington d.c. politician the white house same sex marriage gay rights lgbt abortion terrorism talking while walking secretary democrat cardinal direction in title work ethic vice president reflection government agent political scandal political differences political conflict political candidate political campaign oval office office politics liberal election american foreign policy government official government,Negative,Joy
Bron/Broen,38,4,Crime,2011,2018,60,8.6,56471,154,52,three word series title englishman non fiction,Negative,Neutral
Friday Night Lights,76,5,Drama,2006,2011,44,8.6,55226,307,49,military artificial human supernatural power steampunk genocide anime younger version of character sexy woman large breasts jiggling breasts two word series title boyfriend girlfriend relationship villain dressed in black dressed all in black pretty girl woman dressed in black based on light novel boob drop bouncing boobs bouncing breasts suit of armor alchemist resurrection alchemy shounen based on manga chimaira teacher teacher student relationship sociopath little boy sadness mysterious events multiple villains mechanic loss of limb dark power dark fantasy child in peril anti villain teenage hero teen immature tattoo strong man sibling relationship religious fanatic proud parent police immaturity dead mother coming of age child hero bad temper automail tragic event surrealism anachronism wuxia fiction cyborg serial killer religion magic mechanical limb idiot breast squeezing black comedy metamorphosis social commentary hypocrisy fable brother brother relationship responsibility racism hate warrior woman warrior martial arts honor violence metal impalement gore cult tv title spoken by character,Negative,Sad
Flight of the Conchords,22,2,Comedy,2007,2009,28,8.5,54352,41,34,police sweden denmark female protagonist nordic noir copenhagen denmark bridge bilingual malmo sweden police station male nudity,Neutral,Neutral
Twin Peaks,18,1,Crime,2017,NA,60,8.5,54286,425,132,coach football small town texas high school football coach football injury male camaraderie father daughter relationship grandmother grandson relationship teenage boy sports team student athlete american football athlete in a wheelchair friend brother brother relationship friendship boyfriend girlfriend relationship mother daughter relationship husband wife relationship teenage girl day in series title high school coach based on film based on book,Neutral,Joy
Black Books,18,3,Comedy,2000,2004,25,8.5,53362,85,7,surrealism experimental doppelganger dream sequence gore multiple realities electricity ambiguous ending dream imagery dream reality nonlinear timeline violence fbi agent interdimensional travel another dimension metamorphosis breasts breast new mexico coordinates infinity psychotronic series love childhood interconnectedness dualism absurd humor supernatural power graphic violence duality ruthlessness identity swap time return to the past repeating the past goodness anger coffee past and present loop repetition everything is not what it seems golden sphere golden orb red curtain roadhouse number dysfunctional relationship cryptic message drugs mise en abyme convenience store identity hotel prostitute conflated realities cigarette smoking mysterious event waitress screaming scream shot in the face evil ring confusion new identity abusive relationship character repeating someone else's dialogue death log lady drug use dream forest flashback endless loop loss of memory actress playing multiple roles actor playing multiple roles crushed head sex scene decapitation brutal murder red room esoteric assassin explosion prison insurance company hacking diner good versus evil hearing aid talking tree musical performance bar vision extrasensory perception husband wife relationship casino the other side talking backwards one armed man nuclear test possession hit and run corrupt cop female fbi agent female investigator airforce officer drug dealer small town sheriff woodsman origin story benevolent spirit murder investigation demonic entity evil spirit evil doppelganger auteur tv female rear nudity female frontal nudity topless female nudity reference to new mexico social relationships human condition partial deafness metaphor simpleton actor director writer cgi little person sequel big breasts,Negative,Sad
Chappelle's Show,33,3,Comedy,2003,2006,22,8.8,52361,94,14,new zealand new york city deadpan dry humor goofball song singing singer rock music musician musical number man wears eyeglasses spoof absurd humor joke argument stupidity stage show social satire satire double act,Negative,Neutral
Dragon Ball,153,9,Animation,1995,2003,24,8.5,52112,41,4,bookshop book two word title alliterative title 2000s british humor color in title surrealism live audience irishman british tv british comedy wine smoking sitcom london england employer employee relationship drunkenness cult tv bookstore accountant,Neutral,Neutral
Peep Show,54,9,Comedy,2003,2015,25,8.6,51768,83,8,actor name in series title actor plays himself actor plays multiple roles two word series title absurd comedy dark comedy television channel television program television show television station parody comedian sketch comedy social commentary laugh track bigotry adult humor vulgarity violence television news television network teenager surrealism stand up slapstick comedy sketch showbiz shock humor rapper puppet prank practical joke police live comedy hidden camera gay interest gay friendship friend fictional tv show father son relationship famous opening theme employer employee relationship comedy team dancing commercial children celebrity guest candid camera broadcasting beer argument alcohol actor reference to richard pryor one liner recurring character vagina u.s. president television stupidity smoking hollywood california show business sexual joke sexual humor sex scatological humor redneck racism racial slur physical comedy oral sex nightclub new york city monologue marriage marijuana live performance live audience interview drug humor dating dance crazy humor crack cocaine comic cocaine behind the scenes bar black comedy african american ethnic humor stereotype stand up comedian stand up comedy song singing singer satire running gag wu tang rap politics political satire performer name in title news satire musician musical number music video joke irreverence impersonation husband wife relationship guest gross out comedy family relationships death fake news report fake documentary fake commercial entertainment drunkenness drugs crude humor celebrity absurdism urination sexually transmitted disease pop culture marionette false advertisement crack head courtroom catch phrase masturbation celebrity impersonation breaking the fourth wall topical humor toilet humor spoof social satire racial stereotype race relations hip hop variety show actor shares first name with character title spoken by character character name in title mockumentary,Negative,Joy
TVF Pitchers,5,1,Comedy,2015,NA,40,9.1,50683,174,1,anime older actors younger roles supernatural power dragon ball shounen multiple english dubs song during opening credits song during end credits female fighter bald female warrior cult tv fighting style kung fu karate stylized violence flying kick flying tournament action heroine child hero monster alien martial arts tournament saving the world superheroine superhero violence cartoon violence katana sword sword fight bo staff warrior tough girl gi martial arts master martial artist mixed martial arts love interest child martial arts child fighting adult tough guy action hero hero based on manga martial arts,Positive,Joy
Spaced,14,2,Action,1999,2001,25,8.6,49719,93,26,point of view inner voice cynicism roommate sitcom immaturity office comedy slacker aspiring musician socially awkward flat share odd couple british comedy twenty something promiscuity nerd london england,Negative,Joy
Hunter x Hunter,148,1,Animation,2011,2014,24,8.9,49576,156,15,tv mini series tvf the viral fever start up entrepreneur,Negative,Neutral
Atlanta,39,4,Comedy,2016,NA,30,8.6,49496,97,27,anime friendship villain training based on manga fight anti hero reboot shounen,Positive,Joy
Shin Seiki Evangelion,26,1,Animation,1995,1996,24,8.5,47978,224,24,no opening credits one word series title city name in title atlanta georgia rapper cousin cousin relationship rap music character credited as self african american male protagonist,Neutral,Neutral
Code Geass,54,2,Animation,2006,2012,24,8.6,47719,125,9,landlady dog 2000s 21st century 1990s 20th century posing as married couple posing as husband and wife surrealism slacker generation x british tv writer unemployment twenty something sitcom pop culture parody friendship ex girlfriend cult tv comic book shop british comedy artist domestic comedy platonic hidden character animal in cast credits geek deception,Positive,Joy
Blackadder Goes Forth,6,1,Comedy,1989,NA,29,8.8,47618,75,10,anime loneliness psychological torment christian symbolism existentialism nihilism female nudity freudian psychoanalysis violence mecha bio organic robot post apocalypse secret organization psychological trauma stream of consciousness united nations dead sea scrolls religious symbolism father son relationship piloted giant robot giant robot alien invasion older actors younger roles nudity surrealism 14 year old fourteen year old purple hair pilot blue hair girl with short hair dementia anime shounen mech pilot ancient astronaut genetic engineering mecca south africa,Negative,Sad
Generation Kill,7,1,Drama,2008,NA,70,8.5,47054,95,40,anime politics japan prince robot academy secret identity mastermind xenophobia cheating death royalty near death experience kyoto japan mind control prejudice student racism character name in series title supernatural power cell phone girl future giant robot chess shot in the stomach obsession code name fight for justice swimming geek flashback impostor pizza arrest swat team chainsaw shot in the head lesbian interest infatuation lesbian princess loss of father female rear nudity brother sister relationship pigtails glasses student council president merry go round kiss blindness karaoke false accusation temptation,Negative,Sad
Dragon Ball,153,1,Animation,1986,1989,24,8.5,46415,34,5,world war one 20th century british comedy 1910s british soldier sequel trenches british humour british army united kingdom united kingdom of great britain and ireland captain army captain military captain black humor saxe coburg gotha absurdism moustached man officer military band marching in review bunker historical fiction cult tv cunning plan sexual innuendo nervous twitch gay slur satire cross dressing war zone pilot soldier black adder sex army life trench insanity sitcom characters killed in final episode racism black comedy character name in title,Negative,Sad
Only Fools and Horses....,64,9,Comedy,1981,2003,97,8.9,45253,133,2,male frontal nudity 2000s year 2003 military singing in a car cynicism humvee desert warfare desert machismo chain of command friendship male bonding war correspondent war journalism u.s. marine corps violence war reporter homoeroticism driving iraq war road trip based on true story based on book 21st century soldier u.s. soldier camouflage uniform raspy voice sing along tv mini series,Negative,Sad
Samurai Jack,62,5,Animation,2001,2017,25,8.5,44587,103,9,older actors younger roles supernatural power superhero dragon ball based on manga anime adaptation shounen hero with spikey hair spiked hair male protagonist dragon multiple english dubs song during opening credits song during end credits wuxia fiction innocence fight transformation anime tournament martial arts training,Neutral,Joy
The Knick,20,2,Drama,2014,2015,58,8.5,42912,74,41,1980s british comedy world war two veteran cockney working class british humour pub famous opening theme apartment motherless moustached man man with a beard used car salesman yuppy street sweeper younger brother fatherless cigar smoking reliant robin three wheeled car short man two brothers brother brother relationship cockney accent grandfather london england dodgy deal market trader 20th century 21st century 1990s 2000s flat catch phrase cult tv bartender sell relation scheme actress ambition cocktail reference to peckham london england tower block male protagonist british uncle market black market four word title animal in title sitcom wheeler dealer van,Positive,Neutral
Coupling,28,4,Comedy,2000,2004,30,8.5,42402,140,17,samurai sword alien villain quest flying car two word series title bounty hunter honor time travel katana sword cartoon network katana warrior magic cult tv violence demon dystopia blood cartoon violence action hero anti hero cyberpunk one man army dark fantasy monster stylized violence robot hero fighting name in title male name in title future blood splatter male protagonist science fantasy creature sword and sorcery sword and fantasy very little dialogue zen gi tough guy geta made for cable tv oil nudity hovercar flying train stolen shoes dark room character name as series title black magic sliced in two decapitation swordsman martial arts master martial artist good versus evil samurai warrior megalomaniac martial arts time portal destiny,Positive,Sad
Blackadder II,6,1,Comedy,1986,NA,29,8.6,42401,51,9,aristocracy british humour elizabethan era tudor england kingdom of england early modern period tudor period black adder character character name as series title queen queen elizabeth i england servant 16th century sitcom british comedy alternative comedy second part roman numeral in title numbered sequel british history cult tv cunning plan sequel characters killed in final episode satire cross dressing sarcasm black comedy royalty kidnapping 1500s alcohol kingdom potato number in title,Neutral,Sad
Steins;Gate,26,1,Animation,2011,2015,24,8.8,41503,153,10,friendship boyfriend girlfriend relationship sitcom couple british comedy risque humor ensemble cast sex scene sexual humor friend aging commitment male female relationship sexual intercourse gynecologist striptease orgasm blindfold whipped cream ticket stockings laxative handcuffs farce face slap video store toilet paper string quartet right wing liberalism hallucination drunkenness bisexual wine traffic reporter guinness comic book shop pornography marriage proposal job interview beautician bar accountant complications title spoken by character,Neutral,Joy
Dr. Horrible's Sing-Along Blog,3,1,Short,2008,NA,42,8.5,41375,73,32,anime time loop science time travel microwave message lecture satellite mysterious event mad scientist anger bleeding to death blood cell phone cemetery changing the future death dying repeatedly father daughter relationship gun kiss knife laundromat murder pistol rescue attempt screwdriver shot to death silencer stabbed in the stomach stabbing stun gun suicide attempt urban setting watermelon scientist time machine mysterious behavior banana computer model naive girl scientific experiment babe scientist discovery pervert nerd fat man landlord landlord tenant relationship lottery ticket evil laughter manic laughter megalomania research internet research computer expert computer nerd computer programmer computer hacker computer crossdresser tokyo japan shibuya tokyo shibuya cosplay megalomaniac laboratory lab experiment memory loss loss of memory phone message microwave oven lab assistant lab coat text message,Negative,Sad
Blackadder the Third,6,1,Comedy,1987,NA,30,8.6,40390,49,9,laundromat remote control vehicle accidental death homeless shelter freeze ray super villain spoof unrequited love non comic book superhero horse superhero tv mini series punctuation in title apostrophe in title web series sweaty fan club hyphen in title period in title character name in title,Positive,Sad
Justice League,52,2,Animation,2001,2004,22,8.5,40257,73,35,period british humour georgian era regency era king george iv prince regent prince prince of wales regent house of hanover king george iv of england reference to george iv london england servant king england 1800s 19th century 18th century sitcom british comedy alternative comedy characters killed in final episode cult tv cunning plan role reversal sequel third part satire 1700s murder black comedy 1790s dictionary stupidity duel robbery france black adder sex character name in title,Negative,Sad
Whose Line Is It Anyway?,220,8,Comedy,1998,2007,30,8.5,39565,119,10,shared universe dc animated universe cartoon network supernatural power superhuman strength superhuman speed caped superhero batman character clark kent character green lantern character hawkgirl character j'onn j'onzz character wonder woman character superman character martian manhunter character john stewart character justice league the flash character wally west character bruce wayne character amazon warrior 2000s psychotronic series dc universe action girl dc comics black man white woman romance black man white woman kiss black man white woman relationship telepathy changing size growing in size giantess action hero action heroine flying cult tv good versus evil friendship humanoid friend superhero team based on comic book epic alien villain super villain superhero superheroine earth,Positive,Joy
Samurai Champloo,26,1,Animation,2004,2005,24,8.5,39412,77,11,family relationships media empire ceo patriarchy employee employee relationship betrayal dysfunctional relationship dysfunction hospital wealth new york city,Negative,Neutral
The Jinx: The Life and Deaths of Robert Durst,6,1,Documentary,2015,NA,47,8.7,38222,43,10,anime samurai chivalry character's point of view camera shot anachronism breakdance katana dojo katana sword teenage girl squirrel social outcast ronin prostitution japan honorable death graffiti glasses feudal japan chambara capoeira blind woman absent father 1600s martial arts hip hop fighting samurai champloo champloo s word japanese reference to vincent van gogh two word series title sword shogi shounen profanity strong language girl female nudity poisonous mushroom pirate okinawa japan ninja near death experience nagasaki japan mushroom cloud mexican standoff hallucination gunrunner chi baseball ainu singing little girl surrealism sheath anti hero violence shaolin prison camp ethnic minority decapitation crucifixion abusive husband sexuality nudity,Negative,Sad
Over the Garden Wall,10,1,Animation,2014,NA,11,8.8,38163,117,11,sketch comedy sketch vignette skit comedy skit improvisational comedy live comedy live audience based on television series playing dead 1990s 2000s 20th century 21st century warner bros. comedian joke based on radio show actress playing multiple roles actor playing multiple roles question in title improvisation singing chroma key green screen audience participation non fiction,Negative,Joy
Succession,21,3,Drama,2018,NA,60,8.6,37590,468,29,dark fantasy folk horror woodsman forest horror for children period piece tv mini series monster brother brother relationship 1980s cult tv boy frog pet frog bluebird,Negative,Sad
Life,11,1,Documentary,2009,NA,43,9.1,37399,11,10,suspicion of murder husband suspected of murdering his wife husband suspected of killing his wife tv mini series reenactment,Negative,Sad
Poirot,70,13,Crime,1989,2013,100,8.6,37103,81,35,wildlife life cycle competition predator nature documentary elephant vulture bear monkey dead animal cow seal the animal freefall hippopotamus hunt frond frog grouse cactus gorilla australia swimming travel marine life zoology antarctica beetle bat defense butterfly nut lemur starfish tree snake crab fish biology aerial camera shot sea plant wolf stone termite chimpanzee guinea costa rica clam mussel tarsier communication hot spring society japanese macaque skirmish ethiopia blue screen kelp wheat rice grass mountain baboon socotra desert seed wind pollination flower latex caterpillar milkweed shelter mosquito leaf root orangutan branch madagascar hook gibbon creeper ivy light tide thailand reef polyp cuttlefish tentacle jellyfish worm sea urchin raid squid tiger mole plateau rat den rabbit stoat play fight alaska dead sea fox ibex structure fungus ant argentina burrow fight to the death bee australian outback nest nymph honey bee's nest cooperation mongoose formic acid chemical weapon alarm damselfly treetop horn deer chile patagonia mating mimicry strategy bowerbird west papua bird of paradise ritual grebe clark's grebe pelican gannet antarctic peninsula volcanic island flamingo threat flight feather underwater camera south africa shallow water sea lion anemone shark coral reef wrasse barbel waterfall goby mud flat mudskipper japan rival octopus shell sarcastic fringehead pacific sea dragon ocean lake dominance chase suitor nursery mating ground tonga matriarch meerkat coati whale polar bear lion hyena savannah swamp zambia migration arctic tundra reindeer grub intelligence bite buffalo dry season underwater tunnel chamber breeding chameleon basilisk tarantula venezuela survival yachtsman ice beach starving to death sacrifice giant octopus egg canopy rainforest tadpole river victim venus flytrap brazil tail corral jumping fish gecko narration toad flying fish hummingbird courtship running on water lizard footage exeter england wood devon england time lapse photography woodland oak prey venom dragon water buffalo komodo dragon island pool film crew falkland islands oryx eland zebra ostrich cheetah kenya mexico water trap seabed mud mullet feeding bottlenose dolphin forest wilderness making of high definition tv mini series slow motion scene belize royal navy penguin,Negative,Sad
Father Ted,25,3,Comedy,1995,1998,25,8.6,35881,106,10,1930s london england captain secretary hercule poirot character private detective murder character name as series title surname as series title one word title moustache scotland yard inspector interwar period hercule poirot single man belgian abroad male protagonist agatha christie detective belgian whodunit sleuth french accent art deco based on novella murder investigation based on novel,Negative,Sad
Cosmos,13,1,Documentary,1980,NA,60,9.3,35766,57,7,character name as series title island ireland priest housekeeper sitcom scatological humor scene before opening credits roman catholic irish irish catholic catholic priest catholic church tea drink catholic religion,Positive,Joy
The Blue Planet,10,1,Documentary,2001,NA,39,9,33849,22,7,scientific philosophy lightyear educational unidentified flying object venus 1980s carl sagan reference to carl sagan earth the planet jupiter the planet mars the planet mercury the planet neptune the planet pluto the planet saturn the planet uranus the planet tv mini series life astronomer universe exploration star library library of alexandria greenhouse effect starship investigation human condition culture knowledge rationality thought humanity belief religion literature art philosophy world history science history scientist scientific method space travel outer space virtual set chroma key whaling dwarf deoxyribonucleic acid wormhole whale viking probes tunguska time travel time dilation theory of relativity thales supernova sun spanish conquest spaceship solar system satellite red shift radioactivity quasar pythagoras pyramid pulsars proton periodic table nuclear weapon nuclear war neutron neutron star natural selection myths of creation moon molecule milton humason milky way kepler's laws ion inonian philosophers infinity hypatia human brain gravity galaxy collision evolution erathostenes empedocles electron doppler effect crater cosmic ray cosmic calendar computer comet cambrian explosion brain hemispheres blue shift black hole big bang atomic nucleus astrology asteroid ancient egypt anaximander alien abduction alexandria egypt planet science astronomy cosmology multiverse,Negative,Neutral
